level,entity_name,entity_id,parent_entity,raw_nav,ownership_pct,effective_owned_nav,snapshot_ending_nav,delta,delta_flag,notes
ASSET,Tech Campus North,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North JV (IGF VII),37513609.45,80%,30010887.56,N/A (investment level),N/A,N/A,Two assets under this JV. Fund owns 80% of JV.
ASSET,Tech Campus South Building,097f19ec-1f5f-5e9b-92bb-29c7ceb86682,Tech Campus North JV (IGF VII),17829591.27,80%,14263672.90,N/A (investment level),N/A,N/A,Same JV as Tech Campus North.
INVESTMENT,Tech Campus North (IGF VII),2d54b971-21ac-41b8-a548-a506fe516c6c,IGF VII,55343200.72,80%,44274560.58,44274560.58,0.00,within_tolerance,JV full NAV = sum of 2 assets × 80% fund ownership = $44.3M. Matches released snapshot exactly.
FUND,Institutional Growth Fund VII,a1b2c3d4-0003-0030-0001-000000000001,PORTFOLIO,1446373530.90,varies,~1000000000+,44274560.58,~1402098970,delta_gt_1usd — SCOPING,Independent full-portfolio NAV = $1.446B (30 assets). Snapshot = $44.3M (1/20 investments). Gap = ~$1.4B caused entirely by snapshot builder SELECTED_INVESTMENT_IDS scope restriction. 4 assets have negative NAV: -$66.0M total drag.
ASSET,Meridian Park Multifamily – Dallas,a1b2c3d4-0001-0010-0004-000000000002,MRF III Dallas Cluster JV,33044313.60,100%,33044313.60,included in $34281738.80,see investment row,STALE_CACHE,Asset state created 2026-04-09 23:58; JV quarter state predates this update.
ASSET,Ellipse Senior Living – Dallas,a1b2c3d4-0001-0010-0004-000000000003,MRF III Dallas Cluster JV,9807859.90,100%,9807859.90,included in $34281738.80,see investment row,STALE_CACHE,Same timing issue as above.
ASSET,Phoenix Gateway Medical Office,a1b2c3d4-0001-0010-0004-000000000004,MRF III Phoenix JV,0.00,100%,0.00,0.00,0.00,within_tolerance,Exited 2026Q1. Correctly $0.
ASSET,Westgate Student Housing – Tempe,a1b2c3d4-0001-0010-0004-000000000005,MRF III Phoenix JV,0.00,100%,0.00,0.00,0.00,within_tolerance,Exited 2026Q1. Correctly $0.
INVESTMENT,MRF III – Dallas Multifamily Cluster,a1b2c3d4-0001-0010-0003-000000000001,MREF III,42852173.50,100%,42852173.50,34281738.80,8570434.70,delta_gt_1usd — STALE_CACHE,Snapshot used stale JV quarter state built before 2026-04-09 asset state update. $8.57M understatement.
INVESTMENT,MRF III – Phoenix Value-Add Portfolio,a1b2c3d4-0001-0010-0003-000000000002,MREF III,0.00,100%,0.00,0.00,0.00,within_tolerance,Both assets exited. Correctly $0.
FUND,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0001-000000000001,PORTFOLIO,42852173.50,100%,42852173.50,34281738.80,8570434.70,delta_gt_1usd — STALE_CACHE,Full portfolio NAV = $42.9M. Snapshot = $34.3M. $8.57M gap due to stale JV quarter state at snapshot build time. No scope gap — these 4 assets ARE the full canonical MREF III portfolio.
ASSET,Midtown Towers – Atlanta GA,b3e7d291-4c8a-4f2e-9d1a-c7f2e8a3b4d5,MCOF I Midtown JV,28600000.00,100%,28600000.00,28600000.00,0.00,within_tolerance,Asset state matches snapshot. Only selected investment for MCOF I.
FUND,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0001-000000000001,PORTFOLIO,116680385.29,varies,~116680385,28600000.00,88080385.29,delta_gt_1usd — SCOPING,Independent full-portfolio NAV = $116.7M (8 assets). Snapshot = $28.6M (1/8 investments). Gap = $88.1M caused by SELECTED_INVESTMENT_IDS scope restriction. All 8 assets have data_status='seed' and positive NAV.
PORTFOLIO,ALL THREE MERIDIAN FUNDS,n/a,n/a,1606205689.69,varies,~1606205689,107156299.38,~1499049390,delta_gt_1usd — SCOPING + STALE_CACHE,"Full independent portfolio NAV = $1.606B (42 assets). Released snapshots sum = $107.2M. Gap = ~$1.5B. Of this: ~$1.4B is IGF VII scope restriction, $88.1M is MCOF I scope restriction, $8.57M is MREF III stale cache."
